rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
1,data/RawData/101_18_0_6_1_chair.txt,101,18,0,6,1,chair,chair,chair,345.20696403735957,1.0,0.0,0.004483366706849165,0.9955262989825681,0.0
2,data/RawData/106_18_6_12_1_chair.txt,106,18,6,12,1,chair,chair,chair,33.62449853492819,0.9988151658767772,2.9410413204737958e-06,0.00035131125839162546,0.9996460140360923,0.0
3,data/RawData/105_18_6_10_1_chair.txt,105,18,6,10,1,chair,chair,chair,27.41340388295484,0.9976303317535545,7.82153681952372e-06,0.005892769258576787,0.9940995398781978,0.0
4,data/RawData/105_18_6_16_1_chair.txt,105,18,6,16,1,chair,chair,chair,24.501982399390325,0.9964454976303317,0.0,0.0025771986948257015,0.9974307530520078,0.0
5,data/RawData/107_18_6_8_1_chair.txt,107,18,6,8,1,chair,chair,chair,18.370455567178418,0.995260663507109,0.0,0.0,1.0042980271081061,0.0
6,data/RawData/105_18_6_12_1_chair.txt,105,18,6,12,1,chair,chair,chair,16.975552990149936,0.9940758293838863,6.337985787838652e-06,0.0,1.0020801789564593,0.0
7,data/RawData/206_18_3_2_2_chair.txt,206,18,3,2,2,chair,chair,chair,16.607859813277592,0.9928909952606635,0.0,0.0,1.0120686816134228,5.999702116764908e-08
8,data/RawData/107_18_6_7_1_chair.txt,107,18,6,7,1,chair,chair,chair,14.808112991314989,0.9917061611374408,0.0,0.0,1.0023933608409392,0.0
9,data/RawData/106_18_6_8_1_chair.txt,106,18,6,8,1,chair,chair,chair,14.539695958031292,0.990521327014218,1.6733157739637145e-05,0.0007494076623822023,0.9992341353378476,0.0
10,data/RawData/107_18_6_10_1_chair.txt,107,18,6,10,1,chair,chair,chair,14.424408107711345,0.9893364928909952,2.8814414628764288e-05,0.004151564544820943,0.9958196082054187,1.2835062188425014e-08
11,data/RawData/206_18_5_12_2_chair.txt,206,18,5,12,2,chair,chair,chair,14.28204304825487,0.9881516587677726,0.001785306866518237,0.2053963680045993,0.792818592883329,0.0
12,data/RawData/106_18_6_9_1_chair.txt,106,18,6,9,1,chair,chair,chair,14.111713029365253,0.9869668246445498,0.0,0.0028292088735576908,0.9971857513126473,0.0
13,data/RawData/204_18_6_4_1_chair.txt,204,18,6,4,1,chair,chair,chair,14.05690273836837,0.985781990521327,0.0,0.00793786452024999,0.9920688004720202,0.0
14,data/RawData/304_18_6_5_1_chair.txt,304,18,6,5,1,chair,chair,chair,13.224769714634736,0.9845971563981043,7.334111187146983e-08,0.0,1.0079416631411944,0.0
15,data/RawData/206_18_4_12_2_chair.txt,206,18,4,12,2,chair,chair,chair,13.140122122074853,0.9834123222748815,0.0007413321978612073,0.08024747509380079,0.9190110521467485,1.4056151349546366e-07
16,data/RawData/204_18_6_1_1_chair.txt,204,18,6,1,1,chair,chair,chair,12.614877589255203,0.9822274881516587,0.0,0.0,1.0079390204336105,0.0
17,data/RawData/204_18_6_5_1_chair.txt,204,18,6,5,1,chair,chair,chair,12.554251431644765,0.981042654028436,0.0,0.007397174925584641,0.9926116560515706,0.0
18,data/RawData/107_18_6_12_1_chair.txt,107,18,6,12,1,chair,chair,chair,12.20488916328594,0.9798578199052133,0.0,0.004037479079734391,0.9959687184588543,0.0
19,data/RawData/106_18_6_11_1_chair.txt,106,18,6,11,1,chair,chair,chair,12.106933747044252,0.9786729857819905,8.582948203232549e-06,0.0034629550033897453,0.996528844688964,0.0
20,data/RawData/305_18_6_1_1_chair.txt,305,18,6,1,1,chair,chair,chair,11.893607130796228,0.9774881516587678,0.0,0.0,1.0027894537404674,0.0
21,data/RawData/105_18_6_11_1_chair.txt,105,18,6,11,1,chair,chair,chair,11.700774137810912,0.976303317535545,8.956796818938136e-06,0.006462268501224539,0.9935289141862832,0.0
22,data/RawData/304_18_6_2_1_chair.txt,304,18,6,2,1,chair,chair,chair,11.140411598445771,0.9751184834123223,0.0,0.000829381019635122,0.9991708165842789,3.243847370766022e-08
