subject_id,task,family,score
202,stand,accel,0.8
202,stand,jerk,0.8
202,stand,speed,0.6
202,stand,smoothness,0.6
202,stand,segmentation,1.0
202,stand,sensor_artifact,1.0
202,stand,labeling,0.6
207,stand,accel,0.8
207,stand,jerk,0.8
207,stand,speed,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.6
207,stand,accel,1.0
207,stand,jerk,1.0
207,stand,speed,0.8
207,stand,smoothness,0.6
207,stand,stats,0.6
207,stand,segmentation,1.0
207,stand,sensor_artifact,1.0
202,stand,accel,0.6
202,stand,jerk,0.6
202,stand,speed,0.6
202,stand,segmentation,1.0
202,stand,sensor_artifact,1.0
202,stand,accel,0.6
202,stand,jerk,0.6
202,stand,speed,0.6
202,stand,spread,0.6
202,stand,sensor_artifact,0.8
202,stand,labeling,0.6
207,stand,accel,0.8
207,stand,jerk,0.8
207,stand,speed,0.6
207,stand,smoothness,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.8
207,stand,accel,0.8
207,stand,jerk,0.8
207,stand,speed,0.8
207,stand,spread,1.0
207,stand,stats,1.0
207,stand,path_length,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,1.0
207,stand,accel,0.8
207,stand,jerk,0.8
207,stand,speed,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.8
105,stand,accel,0.6
105,stand,jerk,0.8
105,stand,speed,0.6
105,stand,segmentation,0.8
105,stand,sensor_artifact,0.8
202,stand,accel,0.8
202,stand,jerk,0.8
202,stand,sensor_artifact,1.0
202,stand,labeling,0.6
207,stand,accel,0.6
207,stand,jerk,0.6
207,stand,speed,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.8
207,stand,accel,1.0
207,stand,jerk,0.8
207,stand,speed,0.6
207,stand,smoothness,0.6
207,stand,stats,0.6
207,stand,path_length,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.8
207,stand,accel,0.6
207,stand,jerk,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.8
205,stand,accel,0.6
205,stand,jerk,0.6
205,stand,speed,0.6
205,stand,spread,0.6
205,stand,stats,0.6
205,stand,segmentation,1.0
205,stand,sensor_artifact,0.8
207,stand,accel,0.6
207,stand,jerk,0.8
207,stand,speed,0.8
207,stand,spread,0.6
207,stand,stats,0.6
207,stand,sensor_artifact,1.0
207,stand,labeling,0.6
202,stand,accel,0.8
202,stand,jerk,0.8
202,stand,smoothness,0.6
202,stand,spread,0.6
202,stand,stats,0.6
202,stand,segmentation,0.8
202,stand,sensor_artifact,0.8
104,stand,speed,0.8
104,stand,segmentation,0.8
104,stand,sensor_artifact,0.8
207,stand,accel,0.6
207,stand,jerk,0.8
207,stand,speed,0.6
207,stand,smoothness,0.6
207,stand,spread,0.6
207,stand,stats,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.8
202,stand,accel,0.6
202,stand,jerk,0.6
202,stand,speed,0.6
202,stand,sensor_artifact,1.0
202,stand,labeling,0.6
207,stand,accel,1.0
207,stand,jerk,0.8
207,stand,speed,0.6
207,stand,smoothness,0.6
207,stand,spread,0.8
207,stand,stats,0.8
207,stand,path_length,0.6
207,stand,segmentation,0.8
207,stand,sensor_artifact,0.6
207,stand,labeling,0.6
101,chair,accel,0.6
101,chair,jerk,0.6
101,chair,speed,0.6
101,chair,segmentation,0.8
101,chair,sensor_artifact,0.8
101,chair,labeling,0.6
206,chair,accel,0.6
206,chair,jerk,0.6
206,chair,speed,0.6
206,chair,segmentation,0.8
206,chair,sensor_artifact,0.8
206,chair,accel,0.8
206,chair,jerk,0.8
206,chair,speed,0.6
206,chair,smoothness,0.8
206,chair,spread,0.8
206,chair,stats,0.8
206,chair,path_length,0.6
206,chair,segmentation,0.8
206,chair,sensor_artifact,0.8
204,chair,accel,0.6
204,chair,jerk,0.6
204,chair,speed,0.6
204,chair,segmentation,0.8
204,chair,sensor_artifact,0.8
206,chair,accel,0.8
206,chair,jerk,0.8
206,chair,stats,0.8
206,chair,sensor_artifact,1.0
206,chair,labeling,0.6
204,chair,accel,0.6
204,chair,jerk,0.6
