rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
1,data/RawData/214_18_4_4_1_Stand-frame.txt,214,18,4,4,1,Stand-frame,Stand-frame,Stand-frame,15.434987148572436,1.0,0.0,0.0,1.0089691799426457,0.0
2,data/RawData/214_18_6_2_1_Stand-frame.txt,214,18,6,2,1,Stand-frame,Stand-frame,Stand-frame,15.340429972534102,0.9807692307692307,0.0,0.0,1.008965296733489,0.0
3,data/RawData/214_18_6_3_1_Stand-frame.txt,214,18,6,3,1,Stand-frame,Stand-frame,Stand-frame,10.821430406470729,0.9615384615384616,0.0,0.01539506195728827,0.9846194801870662,0.0
4,data/RawData/214_18_6_5_3_Stand-frame.txt,214,18,6,5,3,Stand-frame,Stand-frame,Stand-frame,10.138059660746913,0.9423076923076923,0.0,0.011174204546751377,0.9888901718984919,0.0
5,data/RawData/214_18_6_4_1_Stand-frame.txt,214,18,6,4,1,Stand-frame,Stand-frame,Stand-frame,5.570057656860219,0.9230769230769231,6.44663891378924e-05,0.10343897879885028,0.8964983331528613,0.0
6,data/RawData/214_18_6_1_1_Stand-frame.txt,214,18,6,1,1,Stand-frame,Stand-frame,Stand-frame,4.663515996612051,0.9038461538461539,0.0,0.02682579262531456,0.9732549044483759,0.0
7,data/RawData/214_18_2_5_2_Stand-frame.txt,214,18,2,5,2,Stand-frame,Stand-frame,Stand-frame,2.6308001772167056,0.8846153846153846,0.0,0.10418161530419563,0.895877920392059,3.190559098875984e-07
8,data/RawData/214_18_4_2_1_Stand-frame.txt,214,18,4,2,1,Stand-frame,Stand-frame,Stand-frame,1.9087283708927902,0.8653846153846154,3.4841689872238885e-05,0.014119970321125247,0.9858435739127065,1.6140757720631865e-06
9,data/RawData/214_18_5_4_1_Stand-frame.txt,214,18,5,4,1,Stand-frame,Stand-frame,Stand-frame,1.1424655042599094,0.8461538461538461,0.0002295586225687565,0.0,1.0399614960340735,6.627987942719853e-06
10,data/RawData/214_18_4_1_1_Stand-frame.txt,214,18,4,1,1,Stand-frame,Stand-frame,Stand-frame,1.0324204221855786,0.8269230769230769,0.00014167638182383509,0.0,1.0308451895825148,7.287686916408539e-06
11,data/RawData/214_18_4_5_1_Stand-frame.txt,214,18,4,5,1,Stand-frame,Stand-frame,Stand-frame,1.0200285782574459,0.8076923076923077,8.258016476005842e-05,0.0,1.004742080979264,8.659399350086396e-06
12,data/RawData/214_18_5_5_1_Stand-frame.txt,214,18,5,5,1,Stand-frame,Stand-frame,Stand-frame,0.9802490326373533,0.7884615384615384,0.00026394097579088966,0.0,1.0213101106973133,6.352930099536519e-06
13,data/RawData/214_18_5_2_1_Stand-frame.txt,214,18,5,2,1,Stand-frame,Stand-frame,Stand-frame,0.9533283479113399,0.7692307692307693,0.0003471808999434447,0.0,1.0412852082566675,9.410373110854456e-06
14,data/RawData/214_18_5_1_1_Stand-frame.txt,214,18,5,1,1,Stand-frame,Stand-frame,Stand-frame,0.9229147834163739,0.75,0.0003370040623072391,0.0,1.0262754797253977,1.103265870026965e-05
15,data/RawData/214_18_4_3_1_Stand-frame.txt,214,18,4,3,1,Stand-frame,Stand-frame,Stand-frame,0.8892071520706006,0.7307692307692307,0.00022870301346733426,0.0,1.0356503192127657,9.428131939202722e-06
16,data/RawData/214_18_5_3_1_Stand-frame.txt,214,18,5,3,1,Stand-frame,Stand-frame,Stand-frame,0.8223211037276983,0.7115384615384616,0.0003726715479878132,0.0,1.0350098641935905,1.2125265712057202e-05
17,data/RawData/214_18_0_6_1_Stand-frame.txt,214,18,0,6,1,Stand-frame,Stand-frame,Stand-frame,0.7745455122017263,0.6923076923076923,0.00020740201034630682,0.0,1.006559319072978,0.00012887896744366627
18,data/RawData/214_18_0_7_1_Stand-frame.txt,214,18,0,7,1,Stand-frame,Stand-frame,Stand-frame,0.7705641934212999,0.6730769230769231,0.00019392404725549877,0.0,1.0075723324556676,6.919392911556493e-05
19,data/RawData/214_18_1_5_1_Stand-frame.txt,214,18,1,5,1,Stand-frame,Stand-frame,Stand-frame,0.7704776502800106,0.6538461538461539,0.00020425059389672895,0.0,1.005167884260923,5.750342245917145e-05
20,data/RawData/214_18_0_4_1_Stand-frame.txt,214,18,0,4,1,Stand-frame,Stand-frame,Stand-frame,0.7659102852462546,0.6346153846153846,0.000214487844336861,0.0,1.0049920010263962,9.311205395240648e-05
21,data/RawData/214_18_0_5_1_Stand-frame.txt,214,18,0,5,1,Stand-frame,Stand-frame,Stand-frame,0.7633660323807373,0.6153846153846154,0.00023091314775801377,0.0,1.0032427260476675,4.4464907943462465e-05
22,data/RawData/214_18_1_6_1_Stand-frame.txt,214,18,1,6,1,Stand-frame,Stand-frame,Stand-frame,0.7592656225674534,0.5961538461538461,0.00017491014421854232,0.0,1.0076644166675555,2.2381869823427994e-05
23,data/RawData/214_18_1_4_1_Stand-frame.txt,214,18,1,4,1,Stand-frame,Stand-frame,Stand-frame,0.7589451473734541,0.5769230769230769,0.00020236990542128004,0.0,1.0048980969762291,7.931969036073867e-05
24,data/RawData/214_18_1_1_1_Stand-frame.txt,214,18,1,1,1,Stand-frame,Stand-frame,Stand-frame,0.7536612947173342,0.5576923076923077,0.00018815946940396128,0.0,1.003765504566426,2.7239741478443292e-05
25,data/RawData/214_18_2_6_2_Stand-frame.txt,214,18,2,6,2,Stand-frame,Stand-frame,Stand-frame,0.7468402719323429,0.5384615384615384,8.77536175763591e-05,0.0,1.0089963716545416,0.0
26,data/RawData/214_18_0_3_1_Stand-frame.txt,214,18,0,3,1,Stand-frame,Stand-frame,Stand-frame,0.7336719900096746,0.5192307692307693,0.0002027338688461627,0.0,1.005585319318622,9.738809499789502e-06
27,data/RawData/214_18_8_6_1_Stand-frame.txt,214,18,8,6,1,Stand-frame,Stand-frame,Stand-frame,0.7323381198363538,0.5,9.629523404412978e-06,0.0,1.0194030731887873,0.0
28,data/RawData/214_18_1_2_1_Stand-frame.txt,214,18,1,2,1,Stand-frame,Stand-frame,Stand-frame,0.7320816890726399,0.4807692307692308,0.00019179332301335415,0.0,1.0058712576998359,2.109746263814446e-05
29,data/RawData/214_18_1_3_1_Stand-frame.txt,214,18,1,3,1,Stand-frame,Stand-frame,Stand-frame,0.72745845938066,0.46153846153846156,0.00015572410000779652,0.0,1.0059604169874536,5.9988002303928806e-05
30,data/RawData/214_18_7_2_1_Stand-frame.txt,214,18,7,2,1,Stand-frame,Stand-frame,Stand-frame,0.7081983821565632,0.4423076923076923,0.0,0.0,1.0132708869013183,0.0
31,data/RawData/214_18_7_1_1_Stand-frame.txt,214,18,7,1,1,Stand-frame,Stand-frame,Stand-frame,0.703927486806984,0.4230769230769231,2.4910876472302783e-05,0.0,1.007634266796789,0.0
32,data/RawData/214_18_7_5_1_Stand-frame.txt,214,18,7,5,1,Stand-frame,Stand-frame,Stand-frame,0.7034490688891362,0.40384615384615385,2.4021146080872712e-05,0.0,1.0154753695848746,0.0
33,data/RawData/214_18_7_4_1_Stand-frame.txt,214,18,7,4,1,Stand-frame,Stand-frame,Stand-frame,0.7012131646799395,0.38461538461538464,0.00010192319052315616,0.0,1.0076079435890204,0.0
34,data/RawData/214_18_0_1_2_Stand-frame.txt,214,18,0,1,2,Stand-frame,Stand-frame,Stand-frame,0.6851614855890926,0.36538461538461536,2.680644760907558e-06,0.0,1.0137252680519677,0.0
35,data/RawData/214_18_7_3_1_Stand-frame.txt,214,18,7,3,1,Stand-frame,Stand-frame,Stand-frame,0.6766129582518451,0.34615384615384615,5.575657574563684e-05,0.0,1.012493312618209,0.0
36,data/RawData/214_18_2_2_1_Stand-frame.txt,214,18,2,2,1,Stand-frame,Stand-frame,Stand-frame,0.668662857886309,0.3269230769230769,0.0001682597784420078,0.0,1.001816455416754,1.0148961179580847e-05
37,data/RawData/214_18_0_2_1_Stand-frame.txt,214,18,0,2,1,Stand-frame,Stand-frame,Stand-frame,0.665991097932788,0.3076923076923077,0.00025843472497673526,0.0,1.0128372267029842,0.0
38,data/RawData/214_18_8_7_2_Stand-frame.txt,214,18,8,7,2,Stand-frame,Stand-frame,Stand-frame,0.6562967292317167,0.28846153846153844,7.017242369405581e-05,0.0,1.0118458178861736,0.0
39,data/RawData/214_18_8_3_1_Stand-frame.txt,214,18,8,3,1,Stand-frame,Stand-frame,Stand-frame,0.652702241018892,0.2692307692307692,0.0,0.0,1.0060109511593551,0.0
40,data/RawData/214_18_7_6_1_Stand-frame.txt,214,18,7,6,1,Stand-frame,Stand-frame,Stand-frame,0.6425132102968799,0.25,7.087160753589025e-05,0.0,1.0092742520297289,0.0
41,data/RawData/214_18_8_2_1_Stand-frame.txt,214,18,8,2,1,Stand-frame,Stand-frame,Stand-frame,0.6193898773407953,0.23076923076923078,0.0,0.0,1.0009033258232465,0.0
42,data/RawData/214_18_8_1_1_Stand-frame.txt,214,18,8,1,1,Stand-frame,Stand-frame,Stand-frame,0.5720999060751494,0.21153846153846154,0.0,0.0,1.0268888041954485,3.395534659545289e-07
43,data/RawData/214_18_2_1_1_Stand-frame.txt,214,18,2,1,1,Stand-frame,Stand-frame,Stand-frame,0.5519707559606836,0.19230769230769232,0.00011068485859965497,0.0,1.0077770229620129,0.0
44,data/RawData/214_18_2_3_1_Stand-frame.txt,214,18,2,3,1,Stand-frame,Stand-frame,Stand-frame,0.5354053803707312,0.17307692307692307,0.0002837082865366845,0.0,1.0188286952908998,2.367139781604165e-05
45,data/RawData/214_18_3_4_1_Stand-frame.txt,214,18,3,4,1,Stand-frame,Stand-frame,Stand-frame,0.5348966333183579,0.15384615384615385,0.00024378204358196896,0.0,1.0226883862009217,2.291816825496452e-05
46,data/RawData/214_18_8_4_2_Stand-frame.txt,214,18,8,4,2,Stand-frame,Stand-frame,Stand-frame,0.5257699800282511,0.1346153846153846,0.0,0.0,1.0022808259285303,5.741630696581929e-06
47,data/RawData/214_18_8_5_1_Stand-frame.txt,214,18,8,5,1,Stand-frame,Stand-frame,Stand-frame,0.4992414222720452,0.11538461538461539,0.0,0.0018293984193784153,0.998328472100937,3.920606314486628e-06
48,data/RawData/214_18_3_1_1_Stand-frame.txt,214,18,3,1,1,Stand-frame,Stand-frame,Stand-frame,0.46462381219483917,0.09615384615384616,0.0003183063140800238,0.0,1.0355817199418975,2.7509271097436943e-05
49,data/RawData/214_18_3_2_1_Stand-frame.txt,214,18,3,2,1,Stand-frame,Stand-frame,Stand-frame,0.4545597586555426,0.07692307692307693,0.0003623073627892101,0.0,1.0348979957617244,2.8354406773827363e-05
50,data/RawData/214_18_2_4_1_Stand-frame.txt,214,18,2,4,1,Stand-frame,Stand-frame,Stand-frame,0.45166222523671173,0.057692307692307696,0.00034286146793299267,0.0,1.0401743966611614,2.811902490042113e-05
51,data/RawData/214_18_3_5_1_Stand-frame.txt,214,18,3,5,1,Stand-frame,Stand-frame,Stand-frame,0.4062605489551542,0.038461538461538464,0.000461445224497194,0.0,1.0492198205250878,3.089817506184084e-05
52,data/RawData/214_18_3_3_1_Stand-frame.txt,214,18,3,3,1,Stand-frame,Stand-frame,Stand-frame,0.24416650440890109,0.019230769230769232,0.0005637518141347805,0.0,1.0377795716605978,6.0985830855697075e-05
