rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
1,data/RawData/202_18_3_2_3_stand.txt,202,18,3,2,3,stand,stand,stand,85.74612325415832,1.0,0.00016000640106949272,0.04913016493103257,0.9507119694733726,0.0
2,data/RawData/302_18_5_9_1_stand.txt,302,18,5,9,1,stand,stand,stand,50.73269743084467,0.9991816693944353,0.0,0.0,1.075418580680018,0.0
3,data/RawData/107_18_6_2_1_stand.txt,107,18,6,2,1,stand,stand,stand,45.9669030350697,0.9983633387888707,0.0,0.0,1.0289258655059572,0.0
4,data/RawData/105_18_6_5_1_stand.txt,105,18,6,5,1,stand,stand,stand,38.312227744473134,0.997545008183306,0.0,0.0,1.073679726926589,0.0
5,data/RawData/215_18_6_2_1_stand.txt,215,18,6,2,1,stand,stand,stand,35.94994106783778,0.9967266775777414,7.334787358263299e-05,0.00795150497947438,0.9919767626946929,0.0
6,data/RawData/102_18_6_2_1_stand.txt,102,18,6,2,1,stand,stand,stand,35.94066393724012,0.9959083469721768,0.0,0.22670686663279233,0.7735461890655837,0.0
7,data/RawData/105_18_6_1_1_stand.txt,105,18,6,1,1,stand,stand,stand,33.5909183271226,0.9950900163666121,0.0,0.0,1.0483185763470926,0.0
8,data/RawData/302_18_3_8_1_stand.txt,302,18,3,8,1,stand,stand,stand,33.091845972181765,0.9942716857610474,0.0,0.0,1.0891200100366063,0.0
9,data/RawData/105_18_6_3_1_stand.txt,105,18,6,3,1,stand,stand,stand,32.85450272659139,0.9934533551554828,0.0,0.0,1.110721666629303,0.0
10,data/RawData/302_18_6_12_1_stand.txt,302,18,6,12,1,stand,stand,stand,31.981801086266273,0.9926350245499181,0.00014711714016533062,0.023702884699099373,0.9761465561495457,3.4420111582711355e-06
11,data/RawData/207_18_3_7_2_stand.txt,207,18,3,7,2,stand,stand,stand,31.658532833846426,0.9918166939443536,0.0008063714798371437,0.0,1.0528764982944132,0.0
12,data/RawData/207_18_3_8_2_stand.txt,207,18,3,8,2,stand,stand,stand,31.292723793773025,0.9909983633387889,0.0,0.0,1.0973614196497063,0.0
13,data/RawData/303_18_2_11_1_stand.txt,303,18,2,11,1,stand,stand,stand,30.99707481124251,0.9901800327332242,0.0,0.0,1.0784974045162166,0.0
14,data/RawData/302_18_2_7_1_stand.txt,302,18,2,7,1,stand,stand,stand,30.751212987105706,0.9893617021276596,0.0,0.0,1.0830708882031628,0.0
15,data/RawData/202_18_2_1_3_stand.txt,202,18,2,1,3,stand,stand,stand,30.366705325857072,0.9885433715220949,0.0,0.0,1.0452187461227271,0.0
16,data/RawData/305_18_6_11_1_stand.txt,305,18,6,11,1,stand,stand,stand,29.801850850701825,0.9877250409165302,0.0007094363289050408,0.6460405571210026,0.35326250002032217,0.0
17,data/RawData/307_18_6_11_1_stand.txt,307,18,6,11,1,stand,stand,stand,29.016366042271265,0.9869067103109657,0.0,0.0,1.0641907590231041,0.0
18,data/RawData/306_18_6_11_1_stand.txt,306,18,6,11,1,stand,stand,stand,28.37639700684854,0.986088379705401,0.0001252340172684444,0.04585609188395652,0.9540168155709022,1.8585278377787426e-06
19,data/RawData/301_18_6_10_1_stand.txt,301,18,6,10,1,stand,stand,stand,27.10519435027582,0.9852700490998363,0.0,0.0,1.0788020291271454,4.543335537492364e-07
20,data/RawData/215_18_6_8_1_stand.txt,215,18,6,8,1,stand,stand,stand,25.14131300502229,0.9844517184942717,0.00010210895448764077,0.0,1.0113633353774178,1.615040207469659e-06
