rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
1,data/RawData/201_18_1_14_1_wheelchair.txt,201,18,1,14,1,wheelchair,wheelchair,wheelchair,57.244177788636144,1.0,0.0,0.0,1.0333794136425825,0.0
2,data/RawData/201_18_6_1_2_wheelchair.txt,201,18,6,1,2,wheelchair,wheelchair,wheelchair,32.057044030337906,0.997229916897507,0.00023373309841022137,0.13887607989820333,0.8608924426014872,0.0
3,data/RawData/212_18_6_4_2_wheelchair.txt,212,18,6,4,2,wheelchair,wheelchair,wheelchair,27.527458751104238,0.9944598337950139,1.9185778573412955e-05,0.007911131858211686,0.9920699177303983,0.0
4,data/RawData/201_18_2_8_2_wheelchair.txt,201,18,2,8,2,wheelchair,wheelchair,wheelchair,26.42717607484874,0.9916897506925207,0.0,0.0,1.0094596094287331,0.0
5,data/RawData/201_18_6_5_2_wheelchair.txt,201,18,6,5,2,wheelchair,wheelchair,wheelchair,23.24671212553511,0.9889196675900277,0.0001412350866060402,0.0,1.0357155413721868,0.0
6,data/RawData/201_18_3_6_2_wheelchair.txt,201,18,3,6,2,wheelchair,wheelchair,wheelchair,22.381172174515747,0.9861495844875346,9.228166832489698e-05,0.3214136843706387,0.6784951282063493,0.0
7,data/RawData/201_18_6_4_2_wheelchair.txt,201,18,6,4,2,wheelchair,wheelchair,wheelchair,20.48676520770599,0.9833795013850416,0.00012935058285995399,0.03140752999987861,0.968465359561514,0.0
8,data/RawData/201_18_2_33_2_wheelchair.txt,201,18,2,33,2,wheelchair,wheelchair,wheelchair,17.255921570560627,0.9806094182825484,0.0005709766510365497,0.46210733743708987,0.5373220600527951,0.0
9,data/RawData/201_18_3_14_2_wheelchair.txt,201,18,3,14,2,wheelchair,wheelchair,wheelchair,14.835398702790956,0.9778393351800554,2.131549265954376e-05,0.048827148726775016,0.9511524364769631,0.0
10,data/RawData/209_18_0_7_2_wheelchair.txt,209,18,0,7,2,wheelchair,wheelchair,wheelchair,14.113178241275357,0.9750692520775623,0.0,0.0,1.00644699030254,0.0
11,data/RawData/201_18_2_40_2_wheelchair.txt,201,18,2,40,2,wheelchair,wheelchair,wheelchair,13.537362791575095,0.9722991689750693,0.0,0.0,1.0351458329010532,0.0
12,data/RawData/209_18_6_5_1_wheelchair.txt,209,18,6,5,1,wheelchair,wheelchair,wheelchair,13.514596929346068,0.9695290858725761,0.0,0.0,1.0712860734202,0.0
13,data/RawData/201_18_2_36_1_wheelchair.txt,201,18,2,36,1,wheelchair,wheelchair,wheelchair,13.458100015042987,0.9667590027700831,0.0,0.005010582053624236,0.9950432227506625,0.0
